horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,-.00347529,.15745379,-.16440438,.08210668,.037228879,.074844405,,
-2,-.0036797163,.1182501,-.12560953,.062209092,.023441317,.041513562,,
-1,0,0,0,0,0,0,,
0,-.080745645,.016752997,-.17824429,.049744204,.0097171832,.040941045,.00034733507,.038833242
1,-.098232627,.053887017,-.25035226,.077612065,-.054357149,.04741567,-.045104671,.051104434
2,-.216482,-.066449858,-.36651415,.076547012,-.016729359,.062078346,-.01651408,.06493362
3,-.32436022,-.091027774,-.55769265,.11904716,-.000046646433,.085352682,.0058580809,.094060473
4,-.29745764,-.022114504,-.57280076,.14048119,-.01656333,.087535746,.018678136,.099331193
5,-.29623759,.0063243634,-.59879953,.15436834,-.058601998,.10523114,-.021384906,.10719012
6,-.18028517,.064795174,-.42536551,.12504099,-.02547311,.10702835,.0045089456,.099686325
7,-.094474606,.16867042,-.35761961,.13425766,.028549839,.095953614,.072728284,.085837916
8,-.03018122,.32976884,-.39013126,.18364799,.07283549,.10054701,.10302279,.088144436
9,-.16115732,.20809877,-.53041339,.18839596,.07415089,.10291898,.11241844,.09805876
